а	a
вісьмома	wj i sj m o m a
вісьмох	wj i sj m o x
вісім	wj i sj i m
вісімдесят	wj i sj i m d e sj a t
вісімдесяти	wj i sj i m d e sj a t y
вісімдесятого	wj i sj i m d e sj a t o h o
вісімнадцяти	wj i sj i m n a dzj tsj a t y
вісімнадцятий	wj i sj i m n a dzj tsj a t y j
вісімнадцятого	wj i sj i m n a dzj tsj a t o h o
вісімнадцятому	wj i sj i m n a dzj tsj a t o m u
вісімнадцять	wj i sj i m n a dzj tsj a tj
вісімсот	wj i sj i m s o t
вітай	wj i t a j
вітайте	wj i t a j t e
вітати	wj i t a t y
вітаю	wj i t a j u
вітають	wj i t a j u tj
вітає	wj i t a j e
вітаємо	wj i t a j e m o
вітаєте	wj i t a j e t e
вітер	wj i t e r
вітерець	wj i t e r e tsj
вітка	wj i t k a
вітки	wj i t k y
вітра	wj i t r a
вітрам	wj i t r a m
вітрами	wj i t r a m y
вітре	wj i t r e
вітри	wj i t r y
вітрил	wj i t r y l
вітрила	wj i t r y l a
вітрило	wj i t r y l o
вітрилом	wj i t r y l o m
вітрових	wj i t r o w y x
вітрові	wj i t r o wj i
вітром	wj i t r o m
вітру	wj i t r u
вітряним	wj i t rj a n y m
вітряних	wj i t rj a n y x
вітрі	wj i t rj i
вітрів	wj i t rj i w
віття	wj i tj tj a
віттях	wj i tj tj a x
вітфагії	wj i tsh f a hj i j i
вітці	wj i tsj tsj i
вітчизні	wj i tsh tsh y zj nj i
вітінії	wj i tj i nj i j i
віфанію	wj i f a nj i j u
віфанія	wj i f a nj i j a
віфанії	wj i f a nj i j i
віфесда	wj i f e s d a
віфлеєм	wj i f l e j e m
віфлеєма	wj i f l e j e m a
віфлеєме	wj i f l e j e m e
віфлеємець	wj i f l e j e m e tsj
віфлеємлянина	wj i f l e j e m lj a n y n a
віфлеємської	wj i f l e j e m sj k o j i
віфлеєму	wj i f l e j e m u
віфлеємі	wj i f l e j e mj i
віфсаіда	wj i f s a i d a
віфсаїди	wj i f s a j i d y
віфсаїдо	wj i f s a j i d o
віфсаїду	wj i f s a j i d u
віфінії	wj i fj i nj i j i
віці	wj i tsj i
вічна	wj i tsh n a
вічне	wj i tsh n e
вічний	wj i tsh n y j
вічним	wj i tsh n y m
вічними	wj i tsh n y m y
вічних	wj i tsh n y x
вічно	wj i tsh n o
вічного	wj i tsh n o h o
вічному	wj i tsh n o m u
вічности	wj i tsh n o s t y
вічною	wj i tsh n o j u
вічної	wj i tsh n o j i
вічну	wj i tsh n u
вічную	wj i tsh n u j u
вічні	wj i tsh nj i
вічній	wj i tsh nj i j
вічність	wj i tsh nj i sj tj
вішали	wj i sh a l y
віщих	wj i sh tsh y x
віщого	wj i sh tsh o h o
віщував	wj i sh tsh u w a w
віщувати	wj i sh tsh u w a t y
віщуни	wj i sh tsh u n y
віщунського	wj i sh tsh u nj sj k o h o
віщунів	wj i sh tsh u nj i w
віщують	wj i sh tsh u j u tj
віяв	wj i j a w
віялкою	wj i j a l k o j u
віяння	wj i j a nj nj a
віяти	wj i j a t y
віяча	wj i a tsh a
віячкою	wj i j a tsh k o j u
віячку	wj i j a tsh k u
віє	wj i j e
вґрунтував	w r u n t u w a w
вґрунтування	w r u n t u w a nj nj a
га	h a
гааварімі	h a a w a rj i mj i
гааммоні	h a a m m o nj i
гаарава	h a a r a w a
гааралоті	h a a r a l o tj i
гаарови	h a a r o w y
гаввата	h a w w a t a
гавкати	h a w k a t y
гавриїл	h a w r y j i l
гавриїле	h a w r y j i l e
гад	h a d
гада	h a d a
гадав	h a d a w
гадавії	h a d a wj i j i
гадад	h a d a d
гадада	h a d a d a
гададріммона	h a d a d rj i m m o n a
гададські	h a d a dzj sj kj i
гадали	h a d a l y
гадаринського	h a d a r y nj sj k o h o
гадаринської	h a d a r y nj sj k o j i
гадассу	h a d a s s u
гадати	h a d a t y
гадаю	h a d a j u
гадають	h a d a j u tj
гадаючи	h a d a j u tsh y
гадає	h a d a j e
гаддад	h a d d a d
гаддя	h a dj dj a
гадина	h a d y n a
гадину	h a d y n u
гадові	h a d o wj i
гадорама	h a d o r a m a
гадюк	h a d u k
гадюка	h a d u k a
гадюки	h a d u k y
гадюці	h a d u tsj i
гадюча	h a d j u tsh a
гадюче	h a d j u tsh e
гадючий	h a d j u tsh y j
гадючого	h a d j u tsh o h o
гадючі	h a d j u tshj i
гадів	h a dj i w
гаезеру	h a e z e r u
гаезері	h a e z e rj i
гаемеку	h a e m e k u
гаенам	h a e n a m
гаецелу	h a e ts e l u
газаїл	h a z a j i l
газаїла	h a z a j i l a
газаїлового	h a z a j i l o w o h o
газаїлові	h a z a j i l o wj i
газаїлом	h a z a j i l o m
газельських	h a z e lj sj k y x
газеля	h a z e lj a
газелями	h a z e lj a m y
газелі	h a z e lj i
газзохелеті	h a z z o x e l e tj i
гази	h a z y
газу	h a z u
гай	h a j
гайвороння	h a j w o r o nj nj a
гайський	h a j sj k y j
гайся	h a j sj a
гаками	h a k a m y
гаки	h a k y
гаккерем	h a k k e r e m
гаккоре	h a k k o r e
гаккоца	h a k k o ts a
галас	h a l a s
галаслива	h a l a s l y w a
галасливих	h a l a s l y w y x
галасом	h a l a s o m
галасу	h a l a s u
галасун	h a l a s u n
галасують	h a l a s u j u tj
галати	h a l a t y
галатську	h a l a t sj k u
галатійських	h a l a tj i j sj k y x
галатії	h a l a tj i j i
галлохеш	h a l l o x e sh
галліму	h a lj lj i m u
галліон	h a lj lj i o n
галуззя	h a l u z zj a
галуззях	h a l u z zj a x
галузка	h a l u z k a
галузками	h a l u z k a m y
галузках	h a l u z k a x
галузки	h a l u z k y
галузку	h a l u z k u
галузок	h a l u z o k
галявині	h a lj a w y nj i
галілейське	h a lj i l e j sj k e
галілейських	h a lj i l e j sj k y x
галілейського	h a lj i l e j sj k o h o
галілейської	h a lj i l e j sj k o j i
галілейську	h a lj i l e j sj k u
галілейські	h a lj i l e j sj kj i
галілейській	h a lj i l e j sj kj i j
галілею	h a lj i l e j u
галілеян	h a lj i l e j a n
галілеяни	h a lj i l e j a n y
галілеянин	h a lj i l e a n y n
галілеянином	h a lj i l e a n y n o m
галілеє	h a lj i l e j e
галілеєю	h a lj i l e j e j u
галілеї	h a lj i l e j i
гамаліїл	h a m a lj i j i l
гамаліїла	h a m a lj i j i l a
гаман	h a m a n
гамана	h a m a n a
гаманове	h a m a n o w e
гамановим	h a m a n o w y m
гаманових	h a m a n o w y x
гамановому	h a m a n o w o m u
гаманові	h a m a n o wj i
гаманом	h a m a n o m
гаманця	h a m a nj tsj a
гамат	h a m a t
гаматовому	h a m a t o w o m u
гаматському	h a m a tsh sj k o m u
гамату	h a m a t u
гаматяни	h a m a tj a n y
гамерхаку	h a m e r x a k u
гаммаркавот	h a m m a r k a w o t
гаммахлекот	h a m m a x l e k o t
гаммедатового	h a m m e d a t o w o h o
гаммедатовому	h a m m e d a t o w o m u
гаммедатів	h a m m e d a tj i w
гаммелах	h a m m e l a x
гамменухот	h a m m e n u x o t
гамметоару	h a m m e t o a r u
гаммонахтяни	h a m m o n a x tj a n y
гамморев	h a m m o r e w
гамміхметату	h a m mj i x m e t a t u
гамміцпі	h a m mj i ts pj i
гамона	h a m o n a
гамоні	h a m o nj i
гамор	h a m o r
гамора	h a m o r a
гаморового	h a m o r o w o h o
гаморові	h a m o r o wj i
гамору	h a m o r u
гамоту	h a m o t u
гамували	h a m u w a l y
гамують	h a m u j u tj
гамі	h a mj i
гамір	h a mj i r
ганамеїл	h a n a m e j i l
ганамеїла	h a n a m e j i l a
ганану	h a n a n u
гандлярів	h a nj dj lj a rj i w
ганебним	h a n e b n y m
ганебно	h a n e b n o
ганебну	h a n e b n u
ганнагару	h a n n a h a r u
ганнекев	h a n n e k e w
ганун	h a n u n
гануна	h a n u n a
ганунові	h a n u n o wj i
ганусу	h a n u s u
ганчар	h a n tsh a r
ганчара	h a n tsh a r a
ганчареві	h a n tsh a r e wj i
ганчарське	h a n tsh a r sj k e
ганчарський	h a n tsh a r sj k y j
ганчарських	h a n tsh a r sj k y x
ганчарської	h a n tsh a r sj k o j i
ганчаря	h a n tsh a rj a
ганчарі	h a n tsh a rj i
ганьба	h a nj b a
ганьби	h a nj b y
ганьбили	h a nj b y l y
ганьбите	h a nj b y t e
ганьбителі	h a nj b y t e lj i
ганьбити	h a nj b y t y
ганьбитимуть	h a nj b y t y m u tj
ганьбитись	h a nj b y t y sj
ганьбить	h a nj b y tj
ганьбливі	h a nj b l y wj i
ганьблять	h a nj b lj a tj
ганьбо	h a nj b o
ганьбою	h a nj b o j u
ганьбу	h a nj b e u
ганьбі	h a nj bj i
ганявсь	h a nj a w sj
ганяють	h a nj a j u tj
ганяється	h a nj a j e tsj tsj a
ганяєшся	h a nj a j e sj sj a
гаппух	h a p p u x
гаппіццеца	h a p pj i ts ts e ts a
гаптована	h a p t o w a n a
гаптовані	h a p t o w a nj i
гаптяра	h a p tj a r a
гаптівник	h a p tj i w n y k
гаптівника	h a p tj i w n y k a
гаразд	h a r a z d
гаразду	h a r a z d u
гараму	h a r a m u
гаран	h a r a n
гарана	h a r a n a
гаранового	h a r a n o w o h o
гарар	h a r a r
гарарянин	h a r a rj a n y n
гарбарника	h a r b a r n y k a
гареф	h a r e f
гарна	h a r n a
гарне	h a r n e
гарний	h a r n y j
гарними	h a r n y m y
гарних	h a r n y x
гарно	h a r n o
гарновиду	h a r n o w y d u
гарного	h a r n o h o
гарноусте	h a r n o u s t e
гарну	h a r n u
гарні	h a r nj i
гарое	h a r o e
гарор	h a r o r
гароімі	h a r o i mj i
гарумового	h a r u m o w o h o
гарцюють	h a r tsj u j u tj
гаряче	h a rj a tsh e
гарячий	h a rj a tsh y j
гарячка	h a rj a tsh k a
гарячкою	h a rj a tsh k o j u
гарячого	h a rj a tsh o h o
гарячому	h a rj a tsh o m u
гарячці	h a rj a tsh tsj i
гарячі	h a rj a tshj i
гаріф	h a rj i f
гасили	h a s y l y
гасне	h a s n e
гаснуть	h a s n u tj
гассіри	h a sj sj i r y
гасять	h a sj a tj
гатах	h a t a x
гатаха	h a t a x a
гаттаава	h a t t a a w a
гаттаави	h a t t a a w y
гаттааві	h a t t a a wj i
гахаліїного	h a x a lj i j i n o h o
гахерес	h a x e r e s
гахересу	h a x e r e s u
гахеферу	h a x e f e r u
гахмоні	h a x m o nj i
гахіли	h a xj i l y
гахіротом	h a xj i r o t o m
гацар	h a ts a r
гацероту	h a ts e r o t u
гацероті	h a ts e r o tj i
гацору	h a ts o r u
гацорі	h a ts o rj i
гаццеваїмових	h a ts ts e w a j i m o w y x
гаццеваїмові	h a ts ts e w a j i m o wj i
гаццелелпоні	h a ts ts e l e l p o nj i
гаццовеву	h a ts ts o w e w u
гаццурім	h a ts ts u rj i m
гачка	h a tsh k a
гачками	h a tsh k a m y
гачки	h a tsh k y
гачком	h a tsh k o m
гачків	h a tsh kj i w
гашема	h a sh e m a
гашшахар	h a sh sh a x a r
гашшітта	h a sh shj i t t a
гая	h a j a
гаєві	h a j e wj i
гаєм	h a j e m
гаєшся	h a j e sj sj a
гаєшімот	h a j e shj i m o t
гаї	h a j i
гаґрянин	h a rj a n y n
гаґґан	h a a n
гаґґілґала	h a i l a l a
гаґґітин	h a i t y n
гвалтівником	h w a l tj i w n y k o m
гебановим	h e b a n o w y m
гебрейським	h e b r e j sj k y m
гебрейському	h e b r e j sj k o m u
гева	h e w a
гевіму	h e wj i m u
гедеон	h e d e o n
гедеона	h e d e o n a
гедеонових	h e d e o n o w y x
геламу	h e l a m u
гелема	h e l e m a
геллади	h e l l a d y
геллен	h e l l e n
геллена	h e l l e n a
гелленам	h e l l e n a m
геллени	h e l l e n y
гелленові	h e l l e n o wj i
гелленом	h e l l e n o m
гелленських	h e l l e nj sj k y x
гелленів	h e l l e nj i w
гемам	h e m a m
геман	h e m a n
гемана	h e m a n a
геманових	h e m a n o w y x
геманові	h e m a n o wj i
гемблями	h e m b lj a m y
гемора	h e m o r a
гени	h e n y
генісаретського	h e nj i s a r e tsj k o h o
генісаретську	h e nj i s a r e t sj k u
гермесом	h e r m e s o m
гермоген	h e r m o h e n
гермон	h e r m o n
гермоном	h e r m o n o m
гермону	h e r m o n u
герой	h e r o j
гесед	h e s e d
геть	h e tj
гетьмана	h e tj m a n a
гетьмани	h e tj m a n y
гетьманів	h e tj m a nj i w
гефсиманія	h e f s y m a nj i j a
гецеротом	h e ts e r o t o m
гецрон	h e ts r o n
гецрона	h e ts r o n a
